module	GCA_004144345	GCA_004144385	GCA_004144615	GCA_004144635	GCA_004144655	GCA_004144755	GCA_004145155	GCA_024707105	GCA_024707125	GCF_001421945	GCF_001424865	GCF_001425235	GCF_001425445	GCF_001426345	GCF_001427605	GCF_001427875
M00001	0.8	0.5	1.0	0.1111111111111111	0.4444444444444444	0.6666666666666666	0.6	0.9	0.9	0.9	0.9	0.9	0.9	0.8	0.8	0.9
M00002	1.0	0.6666666666666666	1.0	0.0	0.4	0.8	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00003	1.0	0.625	1.0	0.25	0.375	0.625	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00004	1.0	0.625	1.0	0.42857142857142855	0.5714285714285714	0.625	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00005	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00006	1.0	0.3333333333333333	1.0	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00007	1.0	1.0	1.0	0.25	0.75	0.25	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00008	1.0	0.5	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00009	1.0	0.47916666666666663	1.0	0.10416666666666666	0.5416666666666666	0.8333333333333334	0.875	0.9375	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00010	1.0	0.3333333333333333	1.0	0.0	0.6666666666666666	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00011	1.0	0.5666666666666667	1.0	0.16666666666666666	0.4666666666666666	0.9333333333333332	0.8	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00012	1.0	0.4	1.0	0.2	0.8	0.8	0.8	1.0	1.0	0.8	0.8	0.8	0.8	1.0	1.0	0.8
M00013	0.2	0.0	0.2	0.0	0.0	0.2	0.0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
M00014	0.2222222222222222	0.1111111111111111	0.4444444444444444	0.0	0.0	0.3333333333333333	0.2222222222222222	0.2222222222222222	0.3333333333333333	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.5555555555555556	0.2222222222222222	0.2222222222222222	0.4444444444444444
