module	GCA_004144245	GCA_004144285	GCA_004144425	GCA_004145035	GCA_004145115	GCA_004172845	GCA_004176105	GCA_004193395	GCA_004193515	GCA_004210715	GCA_004210875	GCA_004210945	GCA_004211015	GCA_004211385	GCA_004211415	GCA_004211465	GCA_004211475	GCA_004211485	GCA_004211555	GCA_004211595	GCA_004295885	GCA_004295895	GCA_004295935	GCA_004295955	GCA_004295975	GCA_004296135	GCA_022701765	GCF_001421515	GCF_001422545	GCF_001423945	GCF_001424305	Ri29	Ri32	S23	S25	Si1
M00001	0.7	0.1111111111111111	0.7	0.9	0.7	0.4	1.0	0.9	1.0	0.9	0.4	0.8	0.5555555555555556	0.8	0.9	0.9	1.0	0.9	0.8	1.0	1.0	1.0	1.0	0.7	0.7	1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00002	0.6666666666666666	0.2	0.6666666666666666	0.8333333333333334	0.8333333333333334	0.3333333333333333	1.0	1.0	1.0	1.0	0.5	0.8333333333333334	0.4	1.0	0.8333333333333334	1.0	1.0	0.8333333333333334	0.8333333333333334	1.0	1.0	1.0	1.0	0.8333333333333334	0.6666666666666666	1.0	0.8333333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00003	0.75	0.375	0.625	1.0	0.7142857142857143	0.25	0.75	0.875	0.875	0.8571428571428571	0.625	0.75	0.5	0.875	0.875	1.0	1.0	0.625	0.75	1.0	1.0	1.0	1.0	0.75	0.625	1.0	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00004	1.0	0.0	0.5	0.75	0.625	0.14285714285714285	1.0	0.75	1.0	1.0	0.375	0.875	0.625	1.0	1.0	0.875	1.0	0.875	0.25	1.0	0.875	1.0	1.0	1.0	0.75	1.0	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00005	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00006	1.0	0.0	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	1.0	0.3333333333333333	1.0	1.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00007	1.0	0.0	0.5	0.75	0.75	0.0	1.0	1.0	1.0	1.0	0.5	1.0	0.75	1.0	1.0	0.75	1.0	0.75	0.0	1.0	0.75	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00008	0.75	0.0	0.25	0.5	0.25	0.0	0.75	0.5	0.75	0.5	0.5	0.5	0.5	0.75	0.75	0.5	0.75	0.75	0.25	0.75	0.5	0.75	0.75	0.75	0.75	0.5	0.25	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
M00009	0.45833333333333337	0.125	0.4583333333333333	0.6875	0.6875	0.041666666666666664	0.875	0.8333333333333333	0.6875	0.6875	0.3333333333333333	0.7083333333333333	0.3333333333333333	0.9583333333333334	0.875	0.75	0.75	0.8125	0.41666666666666663	0.875	0.8125	1.0	0.8333333333333333	0.5833333333333333	0.8333333333333334	0.875	0.5208333333333333	1.0	1.0	0.875	0.875	0.8333333333333333	0.875	1.0	0.875	0.875
M00010	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.3333333333333333	1.0	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.6666666666666666	1.0	0.6666666666666666	1.0	0.6666666666666666	0.6666666666666666	0.3333333333333333	1.0	1.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0	0.6666666666666666	0.6666666666666666
