unique_id	genome_name	kegg_module	module_name	module_class	module_category	module_subcategory	module_definition	module_completeness	module_is_complete	kofam_hits_in_module	gene_caller_ids_in_module	warnings
0	R103	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	0.8	True	K00134,K00134,K00134,K00134,K00873,K00873,K00873,K00873,K00927,K00927,K01623,K01624,K01689,K01689,K01689,K01803,K01803,K01810,K01810,K01834,K15633	4593,7309,742,5578,7753,4643,4642,2991,7308,743,7307,746,6732,4839,4838,6497,1085,6907,1775,6561,1965	None
1	R103	M00002	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	1.0	True	K00134,K00134,K00134,K00134,K00873,K00873,K00873,K00873,K00927,K00927,K01689,K01689,K01689,K01803,K01803,K01834,K15633	4593,7309,742,5578,7753,4643,4642,2991,7308,743,6732,4839,4838,6497,1085,6561,1965	None
2	R103	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	1.0	True	K00134,K00134,K00134,K00134,K00927,K00927,K01610,K01610,K01623,K01624,K01689,K01689,K01689,K01803,K01803,K01834,K03841,K11532,K15633	4593,7309,742,5578,7308,743,7639,2050,7307,746,6732,4839,4838,6497,1085,6561,1938,8604,1965	None
3	R103	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737"	0.75	True	K00161,K00161,K00162,K00163,K00382,K00382,K00382,K00382	6734,5413,6735,4534,5225,6442,7072,3014	None
4	R103	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030) (K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	1.0	True	K00024,K00031,K00031,K00031,K00116,K00116,K00116,K00164,K00164,K00239,K00239,K00240,K00240,K00241,K00241,K00242,K00242,K00382,K00382,K00382,K00382,K00658,K00658,K01647,K01647,K01676,K01676,K01679,K01679,K01681,K01681,K01682,K01902,K01902,K01903,K01903,K18118	6437,2237,6450,2239,4815,4238,4236,6439,3011,7741,3009,6434,3010,7743,3007,7742,3008,5225,6442,7072,3014,6440,3013,7249,3006,4639,8562,7128,3048,6544,4971,4048,6438,3016,7472,3015,111	None
5	R103	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030)"	1.0	True	K00031,K00031,K00031,K01647,K01647,K01681,K01681,K01682	2237,6450,2239,7249,3006,6544,4971,4048	None
6	R103	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	1.0	True	K00024,K00116,K00116,K00116,K00164,K00164,K00239,K00239,K00240,K00240,K00241,K00241,K00242,K00242,K00382,K00382,K00382,K00382,K00658,K00658,K01676,K01676,K01679,K01679,K01902,K01902,K01903,K01903,K18118	6437,4815,4238,4236,6439,3011,7741,3009,6434,3010,7743,3007,7742,3008,5225,6442,7072,3014,6440,3013,4639,8562,7128,3048,6438,3016,7472,3015,111	None
7	R103	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 K00616 (K01810,K06859,K13810,K15916)"	0.875	True	K00036,K00615,K00615,K00616,K00616,K01057,K01057,K01783,K01783,K01807,K01808,K01808,K01810,K01810,K07404	4610,7310,740,6358,4711,7092,4612,8381,1391,5,6778,9042,6907,1775,4320	None
8	R103	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033"	0.6666666666666666	False	K00036,K01057,K01057,K07404	4610,7092,4612,4320	None
9	R103	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00615 (K00616,K13810) K01783 (K01807,K01808)"	1.0	True	K00615,K00615,K00616,K00616,K01783,K01783,K01807,K01808,K01808	7310,740,6358,4711,8381,1391,5,6778,9042	None
10	R103	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K08094 (K08093,K13812),K13831) K01807"	0.5	False	K01807	5	None
11	R103	M00005	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00948"	1.0	True	K00948,K00948,K00948	8356,4750,2086	None
12	R103	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00036 (K01057,K07404) K01690 K01625"	1.0	True	K00036,K01057,K01057,K01625,K01625,K01690,K01690,K07404	4610,7092,4612,7099,4613,7097,4594,4320	None
13	R103	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K05308 K00874 K01625 (K00134 K00927,K00131,K18978)"	0.6	False	K00134,K00134,K00134,K00134,K00927,K00927,K01625,K01625	4593,7309,742,5578,7308,743,7099,4613	None
14	R103	M00014	Glucuronate pathway (uronate pathway)	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854"	0.2222222222222222	False	K00012,K00012,K00012,K00012,K00012,K00012,K00854,K00854	3410,7028,7259,3091,5836,4401,9588,5530	'--' steps are assumed incomplete
15	R103	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)"	0.2	False	K01625,K01625	7099,4613	None
16	R103	M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01812 K00040 (K01686,K08323) K00874 (K01625,K17463)"	0.2	False	K01625,K01625	7099,4613	None
17	R103	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01785 K00849 K00965 K01784"	0.5	False	K01784,K01784,K01785,K01785,K01785,K01785	4159,7091,2828,6229,9586,8344	None
18	R103	M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01684 K00883 K01631 K00134 K00927"	1.0	True	K00134,K00134,K00134,K00134,K00883,K00883,K00927,K00927,K01631,K01684	4593,7309,742,5578,6238,4469,7308,743,6239,4466	None
