module	GCA_004211035	GCA_004296125	GCA_022701475	GCA_022701545	GCF_000829375	GCF_001421435	GCF_001424105	GCF_001424145	GCF_001424585	GCF_001425355	R121	Ri8
M00001	0.9	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0
M00002	0.8333333333333334	0.8333333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00003	0.875	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00004	0.875	0.625	0.5714285714285714	1.0	1.0	0.7142857142857143	1.0	1.0	1.0	1.0	0.7142857142857143	1.0
M00005	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00006	1.0	0.3333333333333333	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
M00007	0.75	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00008	0.5	0.5	0.25	0.75	0.75	0.25	0.75	0.75	0.75	0.75	0.25	0.75
M00009	0.6041666666666666	0.8333333333333334	0.7708333333333333	0.875	1.0	0.875	1.0	1.0	0.875	1.0	0.8125	0.6666666666666666
M00010	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0	0.6666666666666666	1.0	1.0	0.6666666666666666	1.0	0.6666666666666666	0.3333333333333333
M00011	0.7666666666666666	0.9333333333333332	0.8333333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9	0.8666666666666666
M00012	0.4	0.8	0.6	0.6	1.0	0.4	0.6	0.6	0.4	0.6	0.6	0.6
M00013	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
M00014	0.1111111111111111	0.1111111111111111	0.0	0.2222222222222222	0.3333333333333333	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.3333333333333333
M00015	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5
M00016	0.5555555555555556	0.5555555555555556	0.4444444444444444	0.7777777777777778	0.8888888888888888	0.6666666666666666	0.7777777777777778	0.6666666666666666	0.6666666666666666	0.8888888888888888	0.8888888888888888	0.8888888888888888
M00017	0.8571428571428571	0.5714285714285714	0.5714285714285714	1.0	1.0	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.8571428571428571	0.8571428571428571	0.8571428571428571
M00018	0.8	0.4	0.0	1.0	1.0	0.4	0.2	0.2	0.2	0.6	0.6	0.4
M00019	0.25	0.0	0.625	0.75	1.0	0.25	0.25	0.25	0.25	1.0	0.25	0.25
