module	GCA_004144415	GCA_004144525	GCA_004144695	GCA_004144705	GCA_004144745	GCA_004144765	GCA_004144845	GCA_004144865	GCA_004144875	GCA_004144925	GCA_004144945	GCA_004145005	GCA_004145015	GCA_004145195	GCA_004145445	GCA_004145485	GCA_004146305	GCA_004172925	GCA_004173165	GCA_004173945	GCA_004193485	GCA_004210345	GCA_004210365	GCA_004210455	GCA_004210565	GCA_004210585	GCA_004210595	GCA_004210645	GCA_004210805	GCA_004210915	GCA_004210965	GCA_004210995	GCA_004211185	GCA_004211235	GCA_004211245	GCA_004211295	GCA_004211305	GCA_004211335	GCA_004211355	GCA_004211585	GCA_004295825	GCA_004296065	GCA_004296095	GCA_004296235	GCA_022701635	GCA_022701745	GCA_022701845	GCA_022701945	GCA_022701965	GCA_022702125	GCF_000300415	GCF_000300435	GCF_000834655	GCF_000959725	GCF_001038745	GCF_001038835	GCF_001039005	GCF_001282395	GCF_001421705	GCF_001421905	GCF_001422065	GCF_001422105	GCF_001422365	GCF_001422405	GCF_001422445	GCF_001422735	GCF_001423125	GCF_001424165	GCF_001424265	GCF_001424425	GCF_001424545	GCF_001424785	GCF_001424835	GCF_001425005	GCF_001425045	GCF_001425055	GCF_001425125	GCF_001425165	GCF_001425205	GCF_001425265	GCF_001425685	GCF_001425705	GCF_001425785	GCF_001425825	GCF_001425865	GCF_001425905	GCF_001426505	GCF_001426525	GCF_001426595	GCF_001426885	GCF_001427305	GCF_001427325	GCF_001427425	GCF_001427445	GCF_001427705	GCF_001428145	GCF_001428165	GCF_001428225	GCF_001428545	GCF_001428585	GCF_001428625	GCF_001428645	GCF_001428665	GCF_001428845	GCF_001428965	GCF_001429215	GCF_001526805	GCF_001528005	GCF_001529625	GCF_001530945	GCF_001530965	GCF_001530985	GCF_001531005	GCF_001531385	GCF_001539165	GCF_001644805	GCF_902829415	Leaf177	Ri55	S15	S72
M00001	0.7	0.1111111111111111	0.6666666666666666	0.3333333333333333	0.6	0.4444444444444444	0.9	1.0	0.8	0.9	0.5	0.7	0.1111111111111111	0.3	0.5	1.0	0.4444444444444444	0.9	0.0	1.0	0.6	0.8	0.9	0.9	0.8	1.0	0.8	0.9	0.8	1.0	0.1111111111111111	0.9	0.9	0.8	1.0	0.2222222222222222	0.3333333333333333	0.7	0.8	0.3333333333333333	0.3333333333333333	0.7777777777777778	0.2222222222222222	0.7	0.8	0.6	0.6	0.9	0.6	0.9	0.9	0.9	1.0	0.9	0.9	0.9	0.9	0.9	0.9	1.0	0.9	0.9	0.9	1.0	1.0	0.9	1.0	1.0	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.9	1.0	1.0	1.0	1.0	0.9	1.0	1.0	1.0	0.9	0.8	1.0	1.0	1.0	0.8	1.0	0.9	1.0	1.0	0.9	0.9	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9	0.9	0.9	0.9	0.8	0.9	0.9
M00002	0.8333333333333334	0.2	0.8	0.4	0.6666666666666666	0.6	1.0	1.0	0.8333333333333334	0.8333333333333334	0.6666666666666666	0.8333333333333334	0.2	0.5	0.5	1.0	0.6	1.0	0.0	1.0	0.6666666666666666	0.8333333333333334	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.8333333333333334	1.0	0.2	1.0	1.0	0.8333333333333334	1.0	0.2	0.6	0.8333333333333334	1.0	0.4	0.4	0.6	0.4	0.8333333333333334	1.0	0.6666666666666666	0.6666666666666666	1.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00003	0.75	0.2857142857142857	0.75	0.5	0.5	0.5	1.0	1.0	0.875	0.75	0.42857142857142855	0.75	0.2857142857142857	0.5714285714285714	0.75	1.0	0.2857142857142857	1.0	0.0	1.0	0.5714285714285714	0.875	0.875	1.0	0.75	1.0	1.0	0.875	0.875	1.0	0.14285714285714285	0.875	1.0	0.875	0.875	0.14285714285714285	0.5	0.875	1.0	0.42857142857142855	0.375	0.375	0.2857142857142857	0.875	1.0	0.75	0.625	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00004	0.5	0.25	0.75	0.0	0.625	0.625	0.875	0.75	0.625	0.875	0.14285714285714285	0.5	0.125	0.0	0.625	0.75	0.625	0.875	0.0	0.875	0.875	0.875	0.875	0.875	0.875	1.0	0.875	0.875	0.875	1.0	0.0	0.875	0.875	0.875	0.875	0.5	0.25	0.75	0.875	0.2857142857142857	0.14285714285714285	0.875	0.0	0.42857142857142855	0.625	0.75	0.2857142857142857	0.75	0.75	0.875	0.875	0.875	1.0	1.0	1.0	1.0	1.0	0.75	0.875	0.75	0.875	0.875	0.75	0.75	0.75	0.875	0.75	0.875	0.75	0.875	0.75	1.0	1.0	0.75	0.875	0.875	0.875	0.875	1.0	0.75	0.875	0.875	0.875	1.0	1.0	0.75	0.875	0.875	1.0	0.875	0.875	0.875	0.75	0.875	0.875	1.0	0.75	0.875	0.75	0.75	1.0	0.875	0.875	0.7142857142857143	0.875	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.875	1.0	1.0	0.75	0.625	1.0
M00005	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00006	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.0	0.6666666666666666	0.3333333333333333	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.5	0.0	0.6666666666666666	0.0	0.0	0.3333333333333333	0.6666666666666666	0.0	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	1.0	1.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0	1.0	0.3333333333333333	0.6666666666666666	0.6666666666666666	1.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.6666666666666666	1.0	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.3333333333333333	1.0	0.6666666666666666	0.6666666666666666	0.0	0.6666666666666666	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	0.3333333333333333	0.3333333333333333	1.0
M00007	0.5	0.25	0.75	0.0	0.75	0.5	1.0	1.0	0.75	1.0	0.25	0.5	0.0	0.0	0.5	0.75	0.75	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.5	0.25	0.75	1.0	0.0	0.25	1.0	0.0	0.75	1.0	0.75	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0
M00008	0.5	0.25	1.0	0.0	0.75	0.5	1.0	0.75	0.75	0.75	0.5	1.0	0.25	0.0	0.5	0.25	0.25	0.75	0.0	0.75	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.75	0.25	0.25	1.0	1.0	0.0	0.0	1.0	0.0	0.5	0.75	0.75	0.0	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	0.75	1.0	1.0	0.75	0.75	0.75	1.0	0.75	1.0	0.75	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.25	0.75	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.5	1.0	0.75	0.75	1.0	1.0	1.0	0.25	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.75	1.0
M00009	1.0	0.10416666666666666	0.5833333333333333	0.625	0.5416666666666666	0.25	0.8749999999999999	0.9166666666666666	0.6041666666666666	0.16666666666666666	0.041666666666666664	0.29166666666666663	0.0	0.2708333333333333	0.6666666666666666	0.9583333333333333	0.4375	1.0	0.16666666666666666	0.41666666666666663	0.125	0.9166666666666666	0.9583333333333334	1.0	0.3333333333333333	0.9375	1.0	0.375	0.9375	1.0	0.10416666666666666	0.9375	0.875	0.7916666666666667	0.7708333333333334	0.625	0.4583333333333333	0.5	0.5	0.6041666666666666	0.5416666666666666	0.6041666666666667	0.6458333333333334	0.25	0.875	0.35416666666666663	0.7083333333333334	1.0	0.8125	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9583333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00010	1.0	0.0	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.6666666666666666	1.0	1.0	0.6666666666666666	0.3333333333333333	0.0	0.3333333333333333	0.0	0.0	1.0	1.0	0.3333333333333333	1.0	0.3333333333333333	0.0	0.0	1.0	1.0	1.0	0.3333333333333333	1.0	1.0	0.3333333333333333	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.6666666666666666	1.0	0.3333333333333333	0.6666666666666666	0.3333333333333333	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
