unique_id	genome_name	kegg_module	module_name	module_class	module_category	module_subcategory	module_definition	module_completeness	module_is_complete	kofam_hits_in_module	gene_caller_ids_in_module	warnings
0	GCA_004173945	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	1.0	True	K00134,K00134,K00845,K00845,K00845,K00873,K00873,K00927,K00927,K01624,K01624,K01689,K01803,K01803,K01803,K01810,K01810,K15634,K15634,K15634,K15634,K15634,K21071	8753,1644,1488,7964,10486,14089,639,9830,640,8352,637,2938,12321,6320,8232,7982,133,5538,5329,2350,1567,794,2553	None
1	GCA_004173945	M00002	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	1.0	True	K00134,K00134,K00873,K00873,K00927,K00927,K01689,K01803,K01803,K01803,K15634,K15634,K15634,K15634,K15634	8753,1644,14089,639,9830,640,2938,12321,6320,8232,5538,5329,2350,1567,794	None
2	GCA_004173945	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	1.0	True	K00134,K00134,K00927,K00927,K01596,K01624,K01624,K01689,K01803,K01803,K01803,K03841,K15634,K15634,K15634,K15634,K15634	8753,1644,9830,640,8253,8352,637,2938,12321,6320,8232,5383,5538,5329,2350,1567,794	None
3	GCA_004173945	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737"	0.3333333333333333	False	K00163,K00163,K00163,K00163,K00163,K00163,K00172	12297,9536,5511,6747,1116,910,10759	None
4	GCA_004173945	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030) (K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.41666666666666663	False	K00024,K00174,K00174,K00175,K00244,K00244,K01676,K01679	7505,11611,5294,5295,3271,4258,12096,8162	None
5	GCA_004173945	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.6666666666666666	False	K00024,K00174,K00174,K00175,K00244,K00244,K01676,K01679	7505,11611,5294,5295,3271,4258,12096,8162	None
6	GCA_004173945	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 K00616 (K01810,K06859,K13810,K15916)"	0.875	True	K00033,K00036,K00036,K00036,K00036,K00615,K00615,K00615,K00616,K00616,K00616,K01783,K01807,K01807,K01807,K01810,K01810	983,8402,464,6242,13787,8752,3757,1643,10500,2144,7338,535,8875,12711,8542,7982,133	None
7	GCA_004173945	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033"	0.6666666666666666	False	K00033,K00036,K00036,K00036,K00036	983,8402,464,6242,13787	None
8	GCA_004173945	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00615 (K00616,K13810) K01783 (K01807,K01808)"	1.0	True	K00615,K00615,K00615,K00616,K00616,K00616,K01783,K01807,K01807,K01807	8752,3757,1643,10500,2144,7338,535,8875,12711,8542	None
9	GCA_004173945	M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K08094 (K08093,K13812),K13831) K01807"	0.5	False	K01807,K01807,K01807	8875,12711,8542	None
10	GCA_004173945	M00005	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00948"	1.0	True	K00948	269	None
11	GCA_004173945	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00036 (K01057,K07404) K01690 K01625"	0.75	True	K00036,K00036,K00036,K00036,K01625,K01625,K01625,K01690,K01690,K01690	8402,464,6242,13787,4328,4997,1879,4329,4100,11563	None
12	GCA_004173945	M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K05308 K00874 K01625 (K00134 K00927,K00131,K18978)"	0.8	True	K00134,K00134,K00874,K00874,K00874,K00874,K00874,K00927,K00927,K01625,K01625,K01625	8753,1644,14172,12115,3197,6355,6174,9830,640,4328,4997,1879	None
13	GCA_004173945	M00014	Glucuronate pathway (uronate pathway)	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854"	0.2222222222222222	False	K00012,K00012,K03331	666,9156,11596	'--' steps are assumed incomplete
14	GCA_004173945	M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)"	0.4	False	K00874,K00874,K00874,K00874,K00874,K01625,K01625,K01625	14172,12115,3197,6355,6174,4328,4997,1879	None
