unique_id	genome_name	kegg_module	module_name	module_class	module_category	module_subcategory	module_definition	module_completeness	module_is_complete	kofam_hits_in_module	gene_caller_ids_in_module	warnings
0	GCA_004211115	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	1.0	True	K00134,K00134,K00134,K00134,K00845,K00845,K00850,K00873,K00927,K01689,K01689,K01803,K01803,K01810,K01810,K01810,K11645,K15633,K15633,K16370,K16370	3073,5572,3455,1357,3203,4976,3698,4749,2038,973,1076,3864,4586,6550,2065,6609,4106,3534,2803,4834,5985	None
1	GCA_004211115	M00002	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	1.0	True	K00134,K00134,K00134,K00134,K00873,K00927,K01689,K01689,K01803,K01803,K15633,K15633	3073,5572,3455,1357,4749,2038,973,1076,3864,4586,3534,2803	None
2	GCA_004211115	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	1.0	True	K00134,K00134,K00134,K00134,K00927,K01610,K01689,K01689,K01803,K01803,K03841,K11645,K15633,K15633	3073,5572,3455,1357,2038,572,973,1076,3864,4586,4091,4106,3534,2803	None
3	GCA_004211115	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737"	1.0	True	K00161,K00161,K00161,K00162,K00162,K00382,K00382,K00382,K00382,K00627,K00627	3801,1283,133,4005,4185,2680,6068,5018,5339,134,6868	None
4	GCA_004211115	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030) (K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.6666666666666666	False	K00024,K00031,K00239,K00239,K00240,K00240,K00240,K00240,K00382,K00382,K00382,K00382,K00658,K01647,K01679,K01679,K01679	2752,4341,1411,2273,39,104,2798,3740,2680,6068,5018,5339,3699,4507,3900,5721,6894	None
5	GCA_004211115	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030)"	0.6666666666666666	False	K00031,K01647	4341,4507	None
6	GCA_004211115	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.6666666666666666	False	K00024,K00239,K00239,K00240,K00240,K00240,K00240,K00382,K00382,K00382,K00382,K00658,K01679,K01679,K01679	2752,1411,2273,39,104,2798,3740,2680,6068,5018,5339,3699,3900,5721,6894	None
7	GCA_004211115	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 K00616 (K01810,K06859,K13810,K15916)"	0.625	False	K00615,K00615,K00615,K00615,K00615,K00616,K00616,K01808,K01810,K01810,K01810,K07404	722,724,3385,5662,5663,5200,2373,4741,6550,2065,6609,788	None
8	GCA_004211115	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033"	0.3333333333333333	False	K07404	788	None
9	GCA_004211115	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00615 (K00616,K13810) K01783 (K01807,K01808)"	0.75	True	K00615,K00615,K00615,K00615,K00615,K00616,K00616,K01808	722,724,3385,5662,5663,5200,2373,4741	None
