module	GCF_001424875	GCF_001425805	GCF_001426325	GCF_001426425	GCF_001426585	GCF_001426615	GCF_001427245	GCF_001427565	GCF_001427745	GCF_001428885	GCF_001429805
M00001	1	1	1	1	1	1	1	1	1	1	1
M00002	1	1	1	1	1	1	1	1	1	1	1
M00003	1	1	1	1	1	1	1	1	1	1	1
M00004	1	1	1	1	1	1	1	1	1	1	1
M00005	1	1	1	1	1	1	1	1	1	1	1
M00006	1	1	1	1	1	1	1	1	1	1	1
M00007	1	1	1	1	1	1	1	1	1	1	1
M00008	1	1	1	1	1	1	1	1	1	1	1
M00009	1	1	1	1	1	1	1	1	1	1	1
M00010	0	0	0	0	0	0	0	0	1	0	0
M00011	1	1	1	1	1	1	1	1	1	1	1
M00012	1	1	1	1	1	1	1	1	1	1	1
M00013	0	0	0	0	0	0	0	0	0	0	0
M00014	0	0	0	0	0	0	0	0	0	0	0
M00015	1	1	1	1	1	1	1	1	1	1	1
M00016	1	1	1	1	1	1	1	1	1	1	1
M00017	1	1	1	1	1	1	1	1	1	1	1
M00018	1	1	1	1	1	1	1	1	1	1	1
M00019	1	1	1	1	1	1	1	1	1	1	1
M00020	1	1	1	1	1	1	1	1	1	1	1
M00021	0	0	0	1	0	1	1	0	0	0	0
M00022	1	1	1	1	1	1	1	1	1	1	1
M00023	1	1	1	1	1	1	1	1	1	1	1
M00024	0	0	0	0	0	0	0	0	0	0	0
M00025	0	0	0	0	0	0	0	0	0	0	0
M00026	1	1	1	1	1	1	1	1	1	1	1
M00027	1	1	1	1	1	1	1	1	1	1	0
M00028	1	1	1	1	1	1	1	1	1	1	1
M00029	0	1	0	0	0	0	0	0	0	0	0
M00030	0	0	0	0	0	0	0	0	0	0	0
M00031	0	0	0	0	0	0	0	0	0	0	0
M00032	0	0	0	0	0	0	0	0	0	0	0
M00033	0	1	1	1	0	1	1	1	1	1	0
M00034	0	1	0	1	0	0	0	0	1	0	0
M00035	1	1	1	1	1	1	1	1	1	0	1
M00036	0	0	0	0	0	0	0	0	0	0	0
M00037	0	0	0	0	0	0	0	0	0	0	0
M00038	0	0	1	0	0	0	0	1	0	0	0
M00039	0	0	0	0	0	0	0	0	0	0	0
M00040	0	0	0	0	0	0	0	0	0	0	0
M00042	0	0	0	0	0	0	0	0	0	0	0
M00043	0	0	0	0	0	0	0	0	0	0	0
M00044	0	0	0	0	0	0	0	0	0	0	0
M00045	1	1	1	1	1	1	1	1	1	1	1
M00046	0	0	0	0	0	0	0	0	0	0	0
M00047	0	0	0	0	0	0	0	0	0	0	0
M00048	1	1	1	1	1	1	1	1	1	1	1
M00049	1	1	1	1	1	1	1	1	1	1	1
M00050	1	1	1	1	1	1	1	1	1	1	1
M00051	1	1	1	1	1	1	1	1	1	1	1
M00052	1	1	1	1	1	1	1	1	1	1	1
M00053	1	1	1	1	1	1	1	1	1	1	1
M00055	0	0	0	0	0	0	0	0	0	0	0
M00056	0	0	0	0	0	0	0	0	0	0	0
M00057	0	0	0	0	0	0	0	0	0	0	0
M00058	0	0	0	0	0	0	0	0	0	0	0
M00059	0	0	0	0	0	0	0	0	0	0	0
M00060	0	0	0	0	0	0	0	0	0	0	0
M00061	0	0	0	0	0	0	0	0	0	0	0
M00063	0	0	0	0	0	0	0	0	0	0	0
M00064	0	0	0	0	0	0	0	0	0	0	0
M00065	0	0	0	0	0	0	0	0	0	0	0
M00066	0	0	0	0	0	0	0	0	0	0	0
M00067	0	0	0	0	0	0	0	0	0	0	0
M00068	0	0	0	0	0	0	0	0	0	0	0
M00069	0	0	0	0	0	0	0	0	0	0	0
M00070	0	0	0	0	0	0	0	0	0	0	0
M00071	0	0	0	0	0	0	0	0	0	0	0
M00072	0	0	0	0	0	0	0	0	0	0	0
M00073	0	0	0	0	0	0	0	0	0	0	0
M00074	0	0	0	0	0	0	0	0	0	0	0
M00075	0	0	0	0	0	0	0	0	0	0	0
M00076	0	0	0	0	0	0	0	0	0	0	0
M00077	0	0	0	0	0	0	0	0	0	0	0
M00078	0	0	0	0	0	0	0	0	0	0	0
M00079	0	0	0	0	0	0	0	0	0	0	0
M00081	0	0	0	0	0	0	0	0	0	0	0
M00082	1	1	1	1	1	1	1	1	1	1	1
M00083	1	0	1	1	1	1	1	1	0	0	1
M00085	0	0	0	0	0	0	0	0	0	0	0
M00086	1	1	1	1	1	1	1	1	1	1	1
M00087	1	1	1	1	1	1	1	1	1	1	1
M00088	0	1	0	1	1	0	0	0	1	1	0
M00089	0	0	0	0	0	0	0	0	0	0	0
M00090	0	0	0	0	0	0	0	0	0	0	0
M00091	1	1	1	1	0	0	0	1	0	1	0
