module	GCA_001426805	GCA_001427685	GCA_004144935	GCA_004145105	GCA_004145995	GCA_004210735	GCA_004210755	GCA_004210795	GCA_004211175	GCA_004211195	GCA_004295745	GCA_004295765	GCF_001422455	GCF_001423685	GCF_001424025	GCF_001425725	GCF_001425745	GCF_001425915	GCF_001425945	GCF_001426905	GCF_001426985	GCF_001427165	GCF_001427665	GCF_001427825	GCF_001428705	GCF_001429025
M00001	0.9	0.9	0.9	0.6	0.5	0.9	0.9	0.9	0.8	0.6	0.7	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9
M00002	1.0	1.0	1.0	0.8333333333333334	0.6666666666666666	1.0	1.0	1.0	1.0	0.6666666666666666	0.8333333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00003	1.0	1.0	1.0	0.75	0.625	1.0	1.0	0.875	0.875	0.625	0.75	1.0	1.0	1.0	0.875	0.875	0.875	1.0	1.0	1.0	1.0	1.0	0.875	1.0	1.0	1.0
M00004	0.875	0.875	0.875	0.42857142857142855	0.625	0.875	0.75	0.75	0.375	0.5714285714285714	0.5714285714285714	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	1.0	0.875	0.875	0.875
M00005	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00006	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.0	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	1.0	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00007	1.0	1.0	1.0	0.75	0.75	1.0	1.0	0.75	0.25	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00008	1.0	1.0	1.0	0.25	0.5	1.0	0.75	0.75	0.5	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00009	0.875	0.9583333333333333	1.0	0.5833333333333334	0.4583333333333333	1.0	0.35416666666666663	0.35416666666666663	0.875	0.6666666666666667	0.8749999999999999	0.875	0.9583333333333334	0.9583333333333334	0.9583333333333334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00010	0.6666666666666666	1.0	1.0	0.6666666666666666	0.6666666666666666	1.0	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00011	1.0	0.9333333333333332	1.0	0.5333333333333333	0.3333333333333333	1.0	0.36666666666666664	0.3666666666666666	1.0	0.6666666666666666	0.8	0.8	0.9333333333333332	0.9333333333333332	0.9333333333333332	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00012	0.8	1.0	0.8	0.6	0.4	1.0	0.6	0.2	0.8	0.8	1.0	0.8	1.0	1.0	1.0	0.6	0.6	1.0	1.0	0.6	1.0	0.6	1.0	1.0	1.0	1.0
M00013	0.2	0.2	0.2	0.0	0.0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
M00014	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.1111111111111111
M00015	0.5	1.0	1.0	0.0	0.0	1.0	1.0	0.5	0.0	0.3333333333333333	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	0.5	0.6666666666666666	0.6666666666666666
M00016	0.8888888888888888	1.0	0.7777777777777778	0.6666666666666666	0.4444444444444444	1.0	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.7777777777777778	0.2222222222222222	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00017	0.8571428571428571	1.0	0.8571428571428571	0.7142857142857143	0.5714285714285714	1.0	1.0	1.0	0.7142857142857143	0.42857142857142855	0.5714285714285714	0.7142857142857143	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	1.0	1.0
M00018	0.4	1.0	0.8	0.2	0.6	1.0	1.0	1.0	0.4	0.6	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.4	1.0	1.0
M00019	0.625	1.0	1.0	0.625	0.875	1.0	1.0	0.625	0.75	0.875	0.875	0.5	1.0	1.0	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.625	1.0	1.0
M00020	0.6666666666666666	1.0	1.0	0.6666666666666666	0.6666666666666666	1.0	1.0	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.3333333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0
M00021	1.0	1.0	1.0	1.0	0.5	1.0	0.5	0.5	1.0	0.0	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00022	1.0	1.0	1.0	0.3333333333333333	0.25	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.6666666666666666	0.8571428571428571	0.7142857142857143	0.7142857142857143	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
