unique_id	genome_name	kegg_module	module_name	module_class	module_category	module_subcategory	module_definition	module_completeness	module_is_complete	kofam_hits_in_module	gene_caller_ids_in_module	warnings
0	R93	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	1.0	True	K00134,K00134,K00134,K00134,K00134,K00845,K00845,K00850,K00873,K00873,K00873,K00873,K00886,K00927,K00927,K01624,K01624,K01624,K01624,K01624,K01689,K01689,K01689,K01803,K01803,K01803,K01803,K01810,K01834,K01834,K01834,K06859,K11645,K15633,K15633,K16370,K21071	7543,4650,6709,10643,4193,3269,8614,9831,3777,3778,6282,7437,3626,10644,4194,2165,1765,3271,10645,9382,2997,2998,10784,1910,2828,4196,9835,9450,1251,8205,2515,633,5992,9574,9573,7483,5442	None
1	R93	M00002	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	1.0	True	K00134,K00134,K00134,K00134,K00134,K00873,K00873,K00873,K00873,K00927,K00927,K01689,K01689,K01689,K01803,K01803,K01803,K01803,K01834,K01834,K01834,K15633,K15633	7543,4650,6709,10643,4193,3777,3778,6282,7437,10644,4194,2997,2998,10784,1910,2828,4196,9835,1251,8205,2515,9574,9573	None
2	R93	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	1.0	True	K00134,K00134,K00134,K00134,K00134,K00927,K00927,K01596,K01596,K01610,K01624,K01624,K01624,K01624,K01624,K01689,K01689,K01689,K01803,K01803,K01803,K01803,K01834,K01834,K01834,K02446,K03841,K11645,K15633,K15633	7543,4650,6709,10643,4193,10644,4194,2457,2458,10117,2165,1765,3271,10645,9382,2997,2998,10784,1910,2828,4196,9835,1251,8205,2515,9839,9199,5992,9574,9573	None
3	R93	M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737"	1.0	True	K00161,K00162,K00162,K00163,K00163,K00163,K00163,K00163,K00163,K00163,K00627,K03737,K03737	1009,74,4832,363,4675,4674,4024,4022,4023,8840,8839,6636,6637	None
4	R93	M00009	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030) (K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.9166666666666667	True	K00031,K00116,K00116,K00116,K00239,K00240,K00240,K00240,K00241,K00242,K00242,K00244,K00245,K00246,K00247,K00658,K00658,K01647,K01676,K01679,K01682,K01902,K01903	7633,4807,5881,5880,8231,2973,9283,8230,8233,2977,8232,9282,9283,9285,9286,8227,3657,5199,7341,7340,8832,8225,8226	None
5	R93	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030)"	1.0	True	K00031,K01647,K01682	7633,5199,8832	None
6	R93	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00164+K00658+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+K00237,K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.8666666666666666	True	K00116,K00116,K00116,K00239,K00240,K00240,K00240,K00241,K00242,K00242,K00244,K00245,K00246,K00247,K00658,K00658,K01676,K01679,K01902,K01903	4807,5881,5880,8231,2973,9283,8230,8233,2977,8232,9282,9283,9285,9286,8227,3657,7341,7340,8225,8226	None
7	R93	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 K00616 (K01810,K06859,K13810,K15916)"	1.0	True	K00033,K00033,K00033,K00036,K00036,K00036,K00615,K00615,K00615,K00615,K00615,K00615,K00615,K00615,K00616,K00616,K00616,K01057,K01783,K01783,K01807,K01808,K01808,K01808,K01810,K06859,K07404,K07404,K07404	4659,1478,6075,6285,4201,4713,5676,10633,4206,593,8394,595,1390,1391,3902,5677,8954,4198,3751,10139,10650,1402,2822,4620,9450,633,1737,9184,8191	None
8	R93	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033"	1.0	True	K00033,K00033,K00033,K00036,K00036,K00036,K01057,K07404,K07404,K07404	4659,1478,6075,6285,4201,4713,4198,1737,9184,8191	None
9	R93	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00615 (K00616,K13810) K01783 (K01807,K01808)"	1.0	True	K00615,K00615,K00615,K00615,K00615,K00615,K00615,K00615,K00616,K00616,K00616,K01783,K01783,K01807,K01808,K01808,K01808	5676,10633,4206,593,8394,595,1390,1391,3902,5677,8954,3751,10139,10650,1402,2822,4620	None
