module	GCA_004210765	GCA_004211255	GCA_004211575	GCA_004211695	GCA_004211705	GCA_004211745	GCA_004295995	GCA_019781255	GCA_019781905	GCA_019783405	GCA_019783425	GCA_019783595	GCA_022701515	GCF_000654575	GCF_000654935	GCF_000656815	GCF_000834565	GCF_001424365	GCF_001425985	GCF_001426065	GCF_001426085	GCF_001426145	GCF_001426165	GCF_001426185	GCF_001426545	GCF_001427185	GCF_001428895	GCF_019781225	GCF_019781665	GCF_019781985	GCF_019782585	GCF_019783255	GCF_019783345	GCF_019783445	GCF_019783465	GCF_019783485	GCF_019783545	GCF_019783805	GCF_019784205
M00001	0.4444444444444444	1.0	0.4444444444444444	0.6666666666666666	1.0	0.3333333333333333	0.1111111111111111	1.0	1.0	1.0	1.0	1.0	0.7	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00002	0.4	1.0	0.4	0.6	1.0	0.2	0.2	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00003	0.375	1.0	0.14285714285714285	0.5	1.0	0.125	0.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00004	0.375	1.0	0.14285714285714285	0.5	1.0	0.5	0.0	1.0	1.0	1.0	1.0	1.0	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00005	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00006	0.3333333333333333	1.0	0.0	1.0	1.0	0.3333333333333333	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00007	0.5	1.0	0.0	0.25	1.0	0.5	0.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00008	0.25	0.75	0.0	1.0	0.5	0.5	0.0	0.75	0.75	0.75	0.75	0.75	0.75	0.5	0.5	0.5	0.75	0.5	0.75	0.75	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
M00009	0.41666666666666663	0.875	0.0	0.875	1.0	0.29166666666666663	0.08333333333333333	0.875	0.875	0.875	0.875	0.875	0.5	1.0	1.0	1.0	1.0	0.875	1.0	1.0	0.875	1.0	0.875	1.0	1.0	1.0	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875	0.875
M00010	0.3333333333333333	0.6666666666666666	0.0	0.6666666666666666	1.0	0.0	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.3333333333333333	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	0.6666666666666666	1.0	0.6666666666666666	1.0	1.0	1.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.6666666666666666
M00011	0.4666666666666666	1.0	0.0	1.0	1.0	0.4666666666666666	0.13333333333333333	1.0	1.0	1.0	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00012	0.4	0.6	0.0	0.8	1.0	0.0	0.2	0.8	0.8	0.8	0.8	0.8	0.4	1.0	1.0	1.0	0.8	0.8	0.8	1.0	0.8	1.0	0.8	0.8	1.0	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
M00013	0.2	0.4	0.0	0.4	0.4	0.0	0.0	0.4	0.4	0.4	0.4	0.4	0.4	0.2	0.2	0.2	0.6	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4
M00014	0.1111111111111111	0.3333333333333333	0.0	0.1111111111111111	0.4444444444444444	0.2222222222222222	0.0	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.1111111111111111	0.3333333333333333	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444
M00015	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00016	0.5555555555555556	1.0	0.4444444444444444	0.7777777777777778	0.8888888888888888	0.2222222222222222	0.1111111111111111	1.0	1.0	1.0	1.0	1.0	0.5555555555555556	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00017	0.7142857142857143	0.8571428571428571	0.2857142857142857	0.8571428571428571	0.8571428571428571	0.2857142857142857	0.0	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.5714285714285714	1.0	1.0	1.0	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	1.0	1.0	1.0	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571
M00018	0.6	1.0	0.4	0.8	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00019	0.375	1.0	0.25	0.375	1.0	0.375	0.0	1.0	0.75	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M00020	0.6666666666666666	1.0	0.3333333333333333	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
